ticket_id,date,customer_id,product,description,status,true_criticality,true_category
561945,2025-02-28 00:09:56,99f3f00c-ae9b-490d-b68e-5f9220b95a1f,Investment Dashboard,Scheduled payment not executed on time. Yes result deal pick rather form.,New,Medium,Transaction Error
285107,2025-03-13 16:06:56,d1f6ed9b-ba83-43b8-a698-1b297dfcd4f1,Mobile Banking App,Account locked after multiple login attempts,New,Medium,Account Access
195047,2025-03-26 09:02:56,c0443d55-986d-4480-b44e-4b1c4dda9c28,Mobile Banking App,Payment failed but money was deducted from my account,New,High,Transaction Error
637565,2025-03-15 08:34:56,05bf6955-2fda-48c8-aa2c-b3ab90ce1462,Credit Card Portal,Statement shows transactions I didn't make. Large hundred church consumer only black point.,New,Low,Data Discrepancy
553901,2025-03-15 09:37:56,6989b50e-39d4-41d1-8211-1f13fbd6bc3b,Bill Payment Service,Charts and graphs not displaying correctly in investment dashboard,New,Medium,App Performance
145462,2025-03-01 06:09:56,a179776e-31ee-4e87-88bc-3ba1bbed77db,Account Management System,Cannot reset password through the forgot password option,New,Low,Account Access
496681,2025-03-07 09:44:56,26928504-5de7-496e-afea-f1293d35fbc5,Investment Dashboard,Biometric login not working on my device,New,High,Login Failure
276023,2025-03-12 22:18:56,87df9245-4b0b-4a96-8cc9-d2ff94ab2ab7,Account Management System,Getting 'Invalid username or password' despite using correct details. Appear someone style everybody sign.,New,High,Login Failure
601883,2025-03-04 17:17:56,de59292c-7b68-41e1-98b8-9efe326623db,Loan Application System,Payment failed but money was deducted from my account,In Progress,High,Transaction Error
908982,2025-02-26 15:31:56,75026f13-4da2-41a1-ba88-dada89226137,Mobile Banking App,Unable to log in to mobile banking app with correct credentials,New,High,Login Failure
461424,2025-03-12 05:42:56,13054287-1945-4018-8431-8692c5b28c05,Account Management System,Getting 'Invalid username or password' despite using correct details. Tax center challenge between.,In Progress,High,Login Failure
981619,2025-02-27 02:02:56,3fc7ff6f-7420-45eb-9692-1b5598a5901e,Mobile Banking App,App crashes when trying to view transaction history,New,High,App Performance
578513,2025-02-24 20:16:56,ce5c46a2-e988-4500-92d6-efe105b149f5,Web Portal,Cannot reset password through the forgot password option,Resolved,Low,Account Access
729847,2025-03-11 21:28:56,0b23cd39-661a-4d7b-a8d5-cfc9bd7bda4c,Credit Card Portal,Biometric login not working on my device,New,Medium,Login Failure
869202,2025-03-16 08:02:56,bfb40344-8c80-44e0-a6db-d17465ba1436,Account Management System,Noticed login attempt from unknown location,Resolved,Medium,Security Concern
164880,2025-03-09 15:26:56,d1c9ac0f-388d-4a5a-a432-b78c4f56d504,ATM Services,App freezes during fund transfers,Resolved,Low,App Performance
785247,2025-03-27 02:35:56,6324f5e3-b2bf-45bf-9480-a2e65d134add,Investment Dashboard,Cannot upload documents for loan application,New,Low,App Performance
344805,2025-03-14 05:35:56,daccaa02-d4d4-4e8e-baba-8fef53c80f52,Bill Payment Service,Would like to receive push notifications for large transactions,In Progress,Low,Feature Request
302343,2025-03-07 13:59:56,dffb20c1-be4b-4480-8eac-f0005b44f898,Bill Payment Service,Getting 'Your account has been temporarily suspended' message,Resolved,Medium,Account Access
976252,2025-03-23 13:09:56,763fbccd-4104-4cf8-b359-7832ff6fe1d2,Bill Payment Service,Received suspicious email claiming to be from the bank,New,High,Security Concern
163683,2025-02-25 22:23:56,60b0f078-8b1e-4698-8160-5e5f2a19e5ca,Mobile Banking App,Would like an option to categorize transactions automatically,New,High,Feature Request
830854,2025-03-24 23:27:56,e3ab843c-233c-4044-9134-72544366dea4,Credit Card Portal,Authentication fails every time I try to access my account. Morning city toward camera mouth unit relate.,New,High,Login Failure
119936,2025-03-15 07:34:56,42b64ed3-a0f7-4bc6-95e3-8cd3a635c3a6,Web Portal,Transfer to external account stuck in 'processing' for 2 days. You heart tax form.,New,Medium,Transaction Error
500991,2025-03-05 10:35:56,a5d46504-3ce9-4d8f-835e-713daa4fb66a,Web Portal,App freezes during fund transfers,New,Medium,App Performance
542616,2025-03-01 15:53:56,71892374-d701-4ae2-9fcd-e7bf1820ab02,Account Management System,Received suspicious email claiming to be from the bank. Professor letter relate health rate.,New,Low,Security Concern
921608,2025-02-25 23:14:56,86ce36d6-9fc4-4e80-9cd5-b9e7dbb01ebf,Web Portal,Charts and graphs not displaying correctly in investment dashboard,New,Medium,App Performance
953757,2025-03-17 18:58:56,5bdf7578-f08d-40c6-9eb0-d2d0ebcec5db,Account Management System,Charts and graphs not displaying correctly in investment dashboard,In Progress,Medium,App Performance
598494,2025-03-03 06:18:56,a8f3345d-5b97-4306-95e2-78456876e47d,Investment Dashboard,Authentication fails every time I try to access my account,New,Low,Login Failure
512608,2025-02-26 00:02:56,81c57088-f7a5-4037-8bcd-b07eb72dbbe0,Bill Payment Service,Recent transactions not showing up in activity feed,New,Low,Data Discrepancy
619202,2025-03-06 09:32:56,520df7be-a4ab-40f0-accc-f474f233d4c9,Web Portal,Two-factor authentication not sending verification code,New,Medium,Login Failure
460456,2025-03-11 20:51:56,3e2c6b2c-cdf2-4f6a-8b35-f0f9638d9061,Loan Application System,International transfer showing incorrect exchange rate,Resolved,Medium,Transaction Error
28250,2025-03-19 18:24:56,ae743078-fe64-4811-ac26-8d7c7d1d32d2,Investment Dashboard,Balance shown in app doesn't match my actual account balance,New,Medium,Data Discrepancy
370568,2025-03-03 22:15:56,e4831e50-95aa-4b13-94a6-71efa3f00235,Mobile Banking App,Would like to receive push notifications for large transactions,New,Medium,Feature Request
811590,2025-03-19 01:41:56,1384d567-f157-4ae8-8d7b-26ad226ceddd,ATM Services,Need dark mode for the mobile app,New,Low,Feature Request
467522,2025-03-14 03:45:56,12fe9c36-0b86-4cbe-b0a9-09be9f58007e,Bill Payment Service,App crashes when trying to view transaction history,New,Medium,App Performance
784747,2025-03-14 13:45:56,0406bbe9-fd4c-4bc5-914b-6773f5dcedf0,ATM Services,Concerned about the security of my banking data. Tonight baby forward foot service.,New,High,Security Concern
22555,2025-03-03 09:55:56,504ba83d-3492-4890-be17-a93d59338d3c,Loan Application System,Getting 'Your account has been temporarily suspended' message,New,Medium,Account Access
749961,2025-03-14 01:36:56,04161d2d-0893-4742-87de-454553bdeb13,Loan Application System,Charts and graphs not displaying correctly in investment dashboard,In Progress,Medium,App Performance
857410,2025-03-10 22:05:56,df791e80-2d23-4a7b-afd1-a7fd703ae6cc,Web Portal,Noticed login attempt from unknown location,New,Low,Security Concern
912535,2025-03-12 19:18:56,5e291bdb-6007-46eb-b55a-101d5eb40ad0,Investment Dashboard,Payment failed but money was deducted from my account. Day if structure glass me factor education.,New,High,Transaction Error
538200,2025-03-25 14:37:56,d02c6574-eb9a-45c0-a4f4-07a0f098617b,Credit Card Portal,Cannot reset password through the forgot password option,In Progress,Medium,Account Access
240275,2025-03-27 00:31:56,870ae883-6abd-4071-9c39-f3250a2b44c7,Web Portal,Account locked after multiple login attempts,New,Low,Account Access
133904,2025-03-01 02:10:56,cb040570-e5ce-482b-9b4e-b25e7d4ab97f,Mobile Banking App,Biometric login not working on my device,In Progress,Medium,Login Failure
240264,2025-03-23 10:29:56,d03f2b2f-2a81-48c6-aa62-a5944e677463,Account Management System,Session keeps timing out too quickly while using the service,New,Medium,Account Access
757513,2025-03-27 13:24:56,cd1e7764-57dc-41d6-a28a-dc1f25e30926,Investment Dashboard,Recent transactions not showing up in activity feed,Resolved,High,Data Discrepancy
802138,2025-03-08 21:39:56,3be92c44-e328-4d3e-8569-6e0dc8657952,Investment Dashboard,Not receiving security alerts for login attempts,New,Low,Security Concern
263936,2025-03-20 02:23:56,84832eb6-ca81-49ca-8b23-b1c9a98b8b29,Bill Payment Service,Payment failed but money was deducted from my account,In Progress,High,Transaction Error
176408,2025-03-12 17:46:56,608d4dcb-6c07-45b9-9036-7bcb1dbae762,Credit Card Portal,Unable to log in to credit card portal with correct credentials. The card police agent.,New,Low,Login Failure
295295,2025-03-14 19:42:56,6be20ed1-bc2c-4853-a2b9-719c7204914e,Account Management System,App freezes during fund transfers. Town president hand can various.,New,Low,App Performance
161302,2025-03-02 11:26:56,594b29b2-683d-4576-bb7e-91f3bd955376,Account Management System,Session keeps timing out too quickly while using the service. Read response change firm late.,New,Low,Account Access
464460,2025-03-20 03:53:56,590b3379-1496-4a28-b870-55455025db88,Loan Application System,Balance shown in app doesn't match my actual account balance,New,Medium,Data Discrepancy
79895,2025-03-02 07:24:56,48e1f19e-0902-4fba-87ca-51ee6e1bd82f,Investment Dashboard,Payment failed but money was deducted from my account,In Progress,High,Transaction Error
399329,2025-03-04 00:14:56,0bcc48f3-8a17-4198-a14b-f645d32c575f,ATM Services,Getting 'Invalid username or password' despite using correct details,In Progress,Low,Login Failure
987838,2025-03-03 10:11:56,ed8ad289-2f2c-40df-8472-c282a385eff2,Account Management System,Concerned about the security of my banking data,New,Medium,Security Concern
101085,2025-03-25 06:03:56,d6d87f94-ce8a-46b2-af82-50fcccaef813,ATM Services,Account locked after multiple login attempts. Offer dog perform nature.,New,High,Account Access
181956,2025-03-08 19:57:56,4770bee8-f9bd-4c94-a39e-bd6a9401e01d,Account Management System,Payment failed but money was deducted from my account,Resolved,High,Transaction Error
644702,2025-03-01 03:08:56,e4e87fa0-ffb3-4721-8e70-45571a00a626,Bill Payment Service,International transfer showing incorrect exchange rate,New,Medium,Transaction Error
912141,2025-03-23 21:02:56,3e2ed4b6-2499-4d1e-b795-496da97a4bb9,Investment Dashboard,Getting 'Invalid username or password' despite using correct details,New,Medium,Login Failure
372880,2025-03-08 02:14:56,9e3e37c5-ab0a-44db-a621-c7dbddcae187,Loan Application System,Credit score displayed is different from what other services show,New,Medium,Data Discrepancy
994812,2025-03-20 07:40:56,eef30f51-bebb-4703-9750-14adcf324938,Investment Dashboard,Concerned about the security of my banking data,New,Low,Security Concern
838722,2025-02-25 01:48:56,d9d5a444-2515-4ea3-a60f-a1076b68b959,Mobile Banking App,Balance shown in app doesn't match my actual account balance,New,Low,Data Discrepancy
854339,2025-03-02 19:50:56,f9d060a6-06c8-44c6-a282-181c87d59bde,Account Management System,Scheduled payment not executed on time,New,Medium,Transaction Error
559424,2025-03-19 19:27:56,045fba06-f24a-4f87-8cfc-58365357bb8a,Account Management System,Not receiving security alerts for login attempts,New,Medium,Security Concern
798678,2025-03-23 02:07:56,3c7c4c64-d231-4c7d-ba63-4a0844cf2495,Mobile Banking App,Payment failed but money was deducted from my account. War economic close happy window.,New,High,Transaction Error
436259,2025-03-10 16:10:56,7c9a0bf9-11fe-4ea4-8e7f-102534a8f736,Account Management System,Cannot upload documents for loan application,New,Low,App Performance
660751,2025-03-03 02:06:56,e32aa930-7513-4144-8ec9-d3da8b94acb8,Bill Payment Service,Noticed login attempt from unknown location,Resolved,Medium,Security Concern
186319,2025-03-07 12:22:56,a8ca56fb-771b-4457-b025-b23367d9b362,Mobile Banking App,Credit score displayed is different from what other services show,New,Low,Data Discrepancy
418044,2025-03-14 06:44:56,5507745c-7780-4fa8-bedf-da21253d062c,Credit Card Portal,Noticed login attempt from unknown location. Mother although democratic condition project year push.,New,Low,Security Concern
3264,2025-03-15 16:26:56,c97637a0-0bbf-421d-b9b7-153084445dfe,Account Management System,Account locked after multiple login attempts. Family that scientist begin item.,Resolved,Low,Account Access
686320,2025-03-18 20:28:56,9cf2f1cd-ea5a-4d8f-bb3f-9d90083d5ac2,Loan Application System,Need to report potential phishing attempt targeting bank customers,New,Low,Security Concern
192874,2025-03-27 09:40:56,4a4e153f-8525-40fb-b00a-e3dd436bb596,Loan Application System,Need to report potential phishing attempt targeting bank customers. Require word author moment determine.,New,Medium,Security Concern
130618,2025-03-02 16:14:56,ea7f3973-5671-49ca-b2ec-c3f504203d32,Bill Payment Service,Balance shown in app doesn't match my actual account balance. Score about head yeah.,New,Low,Data Discrepancy
478600,2025-03-17 03:00:56,4c0b6c47-8dcb-49cb-9059-0ac0922cc9eb,Mobile Banking App,Charts and graphs not displaying correctly in investment dashboard,In Progress,Low,App Performance
424184,2025-03-12 04:43:56,c08a6ba2-b452-468d-bc23-7632ca2b27c6,ATM Services,Getting 'Invalid username or password' despite using correct details,In Progress,Low,Login Failure
693460,2025-03-09 11:46:56,885d5921-55d3-4e98-96af-c076b55663fd,Credit Card Portal,Getting 'Your account has been temporarily suspended' message,New,High,Account Access
79594,2025-03-05 09:36:56,79285703-c9f3-4291-b3c3-2b111b920991,Mobile Banking App,Recent transactions not showing up in activity feed,New,High,Data Discrepancy
303182,2025-03-13 00:13:56,28465162-691c-4813-ac37-85ed2cde32cb,Credit Card Portal,Authentication fails every time I try to access my account. Threat billion everybody guess.,In Progress,Low,Login Failure
899713,2025-03-07 02:49:56,d18832f0-d6c0-417f-9c9e-faeadfaceeba,Mobile Banking App,Scheduled payment not executed on time. Toward art federal add.,In Progress,High,Transaction Error
241807,2025-02-28 11:57:56,684428b7-2fdf-4048-b096-ad908909152e,Web Portal,Recent transactions not showing up in activity feed,New,High,Data Discrepancy
440393,2025-03-03 19:45:56,49caf24c-eaff-400d-bc0d-6caf2d76d178,Credit Card Portal,App crashes when trying to view transaction history. Network grow resource mean expect.,New,Medium,App Performance
410693,2025-02-26 20:38:56,f8892be7-7113-4e8a-b421-3ab18868d92b,Mobile Banking App,Cannot reset password through the forgot password option. Provide role run skin structure.,New,Medium,Account Access
345820,2025-03-11 10:56:56,4b5ca72d-bc79-4a70-ad0b-0a88e2cbce0a,Investment Dashboard,Statement shows transactions I didn't make,New,Medium,Data Discrepancy
251214,2025-03-06 21:01:56,28d9cb27-6cf8-4d2c-856b-b570e903ffc2,Account Management System,Statement shows transactions I didn't make,New,Medium,Data Discrepancy
658707,2025-03-09 11:07:56,84754523-30de-4253-94af-c9fe744e56a6,Loan Application System,Authentication fails every time I try to access my account,New,Low,Login Failure
323248,2025-03-10 01:39:56,ea2cdba6-416d-4cd5-9665-87661b59d1a3,Credit Card Portal,Getting 'Your account has been temporarily suspended' message. Box share any thing.,New,Medium,Account Access
519177,2025-03-10 21:14:56,3b61b0a5-6a70-43ab-b30b-60881e02e093,Credit Card Portal,Transfer to external account stuck in 'processing' for 2 days,New,High,Transaction Error
1805,2025-02-24 23:41:56,aa0dec67-1ebf-486f-b381-a51d2f04192e,Credit Card Portal,Unable to view my account balance and transactions,New,High,Account Access
645205,2025-03-07 23:45:56,35ad5c23-bb9e-4549-a8ba-b7af0a8406a8,ATM Services,Duplicate transaction showing in my account history,New,Medium,Transaction Error
224317,2025-03-17 19:49:56,4dd7aafa-2bcb-4a9d-9035-eaf96586dad7,Bill Payment Service,Would like to receive push notifications for large transactions,New,Low,Feature Request
530770,2025-03-26 18:19:56,e67f1643-e841-4c6c-8f44-626e23a55055,Account Management System,Need to report potential phishing attempt targeting bank customers,New,Medium,Security Concern
724201,2025-03-10 15:36:56,89ef05c3-88a3-4071-8a49-98b3058b01ca,Credit Card Portal,Two-factor authentication not sending verification code,In Progress,Medium,Login Failure
398428,2025-03-26 15:11:56,d4ccef73-e688-490a-a079-c0a59408437d,Loan Application System,Extremely slow loading times for all screens,Resolved,Medium,App Performance
24134,2025-03-14 06:00:56,795eaf24-0b0b-48a0-b0ae-63ac2b3a2ea0,Account Management System,Unable to view my account balance and transactions,New,Low,Account Access
486923,2025-02-26 19:12:56,f9fa2510-696d-4eb8-87d8-ece6c17cb4c9,Investment Dashboard,Payment failed but money was deducted from my account,New,High,Transaction Error
287089,2025-03-24 09:54:56,ecb5333b-c31f-4db2-913b-6bff4d164d47,Credit Card Portal,Suggestion to add spending analytics feature,New,Low,Feature Request
815266,2025-03-26 17:35:56,64a76319-0a70-41c2-92a8-6c428dac5f55,Loan Application System,App freezes during fund transfers. Event matter way without officer site.,New,High,App Performance
624526,2025-03-14 14:48:56,5c8cb316-a117-4d45-bce6-fefda1ca09e8,Mobile Banking App,Authentication fails every time I try to access my account,New,Medium,Login Failure
360038,2025-03-10 05:19:56,f5b12fe0-6cf5-44c3-8a58-608f280aa8d5,Investment Dashboard,Would like to receive push notifications for large transactions,New,Low,Feature Request
868818,2025-03-12 17:06:56,a4682ab2-1abd-4cbb-9198-2dcc2384bc0a,Bill Payment Service,Need to report potential phishing attempt targeting bank customers,In Progress,Low,Security Concern
943268,2025-03-18 20:05:56,e4c9180d-304e-4c31-b321-d352bb458dcc,Credit Card Portal,Unable to view my account balance and transactions. Dark run discussion whatever among fill expert.,New,Medium,Account Access
160662,2025-03-03 16:28:56,6e75380d-39fb-4282-83b9-6956ff6d598c,Investment Dashboard,Suggestion to add spending analytics feature,New,Medium,Feature Request
642331,2025-03-09 17:39:56,10175186-8329-464d-82b4-dd222eb31f1a,Mobile Banking App,Noticed login attempt from unknown location,In Progress,Low,Security Concern
101388,2025-03-09 07:44:56,1c238eb4-1d83-41a6-bda1-c7eb04557ad9,Mobile Banking App,Balance shown in app doesn't match my actual account balance,In Progress,High,Data Discrepancy
73940,2025-03-09 17:38:56,96b89dd4-cee1-404d-b2dc-065bd9b87995,Account Management System,Getting 'Invalid username or password' despite using correct details,Resolved,Medium,Login Failure
452540,2025-03-27 10:23:56,203287b0-ec4a-4d11-9edf-0f14b1ff4952,Investment Dashboard,Account locked after multiple login attempts,New,Medium,Account Access
816957,2025-03-21 20:10:56,585298fb-55c9-466f-9863-8af2cc86e065,Mobile Banking App,Request for biometric authentication for web portal,New,Medium,Feature Request
630394,2025-03-16 22:56:56,c4ed9149-5129-4fa3-83a9-830fc75dd589,Loan Application System,Credit score displayed is different from what other services show,New,High,Data Discrepancy
753682,2025-03-07 10:49:56,c681c544-4f31-4c44-99a7-ede1e8462f63,Bill Payment Service,Two-factor authentication not sending verification code. House rest purpose.,New,Low,Login Failure
852188,2025-03-12 11:22:56,644da09e-ac0a-4fc9-ba40-80d214e7b0c9,Bill Payment Service,Charts and graphs not displaying correctly in investment dashboard,New,Medium,App Performance
415785,2025-03-24 02:38:56,1332fecb-02e7-4511-bcc0-867c64eb1167,Mobile Banking App,Balance shown in app doesn't match my actual account balance,New,Medium,Data Discrepancy
462943,2025-02-28 05:53:56,4faf06bb-cfd8-4591-8baa-89d5192ade68,Credit Card Portal,Extremely slow loading times for all screens. My bed mother successful a.,Resolved,Medium,App Performance
21485,2025-03-09 21:41:56,26773edb-1387-4dfb-a8cd-fa105c7c3024,Web Portal,Charts and graphs not displaying correctly in investment dashboard,New,Medium,App Performance
911669,2025-03-12 10:11:56,02698871-afe1-404e-b3bf-91f0a72e5c98,Mobile Banking App,Scheduled payment not executed on time,New,Medium,Transaction Error
102126,2025-03-18 01:51:56,76aebda3-7403-4b1c-b52a-249cb32108b5,Investment Dashboard,Account locked after multiple login attempts. Agreement expert subject inside heavy allow.,In Progress,Low,Account Access
671917,2025-03-06 07:34:56,fdf1633a-34da-473c-88a4-f4e92e1a49ea,ATM Services,Getting 'Invalid username or password' despite using correct details. Study second politics minute quite do.,Resolved,Medium,Login Failure
591465,2025-03-13 02:36:56,d70716fa-a522-455e-a20f-8da6a02cab7c,Credit Card Portal,Noticed login attempt from unknown location. Bar away cultural teach real need change.,New,Medium,Security Concern
860375,2025-03-26 11:03:56,b6954661-d83a-40e9-a289-7065df6bd327,ATM Services,Getting 'Invalid username or password' despite using correct details,New,Medium,Login Failure
75938,2025-03-10 21:59:56,ff704fd4-d792-4d1d-a719-66187e1d5208,Credit Card Portal,Two-factor authentication not sending verification code,New,Medium,Login Failure
552246,2025-03-06 07:42:56,82505543-3fea-4c8a-92ee-b54fdbd4a32c,Account Management System,Balance shown in app doesn't match my actual account balance,New,Low,Data Discrepancy
523981,2025-03-03 01:11:56,ecd63496-3618-4632-b603-5d245eaa17e2,Investment Dashboard,Two-factor authentication not sending verification code,New,Low,Login Failure
469651,2025-03-22 09:41:56,3e960068-f2a8-4621-bf4a-c68f46c25298,Bill Payment Service,Session keeps timing out too quickly while using the service,New,Medium,Account Access
436254,2025-03-13 12:34:56,6b05f175-455c-4b0a-977b-6074ee04dcb2,ATM Services,Not receiving security alerts for login attempts,New,High,Security Concern
652894,2025-02-28 09:00:56,abe3e04e-5638-4391-992e-fa0abc495b7f,ATM Services,Unable to log in to atm services with correct credentials,New,Low,Login Failure
206569,2025-03-24 00:17:56,ed3cc542-aa3a-4b49-8c51-5710fac9c82c,Account Management System,Duplicate transaction showing in my account history. Bar eye lead.,In Progress,Low,Transaction Error
589217,2025-03-08 10:45:56,d4bdb38d-2f79-4335-a55f-f6d20c5c69b7,Investment Dashboard,Payment failed but money was deducted from my account,New,High,Transaction Error
589104,2025-03-12 09:00:56,3c53a6a8-007b-4b4e-8724-748bf876c88c,Bill Payment Service,Recent transactions not showing up in activity feed,New,High,Data Discrepancy
60633,2025-02-25 05:43:56,051dfd20-e87c-4721-9831-46d1b903f7ee,Loan Application System,International transfer showing incorrect exchange rate,New,High,Transaction Error
184616,2025-03-22 06:47:56,6e3ea279-a36d-485f-9c2e-010df1074e92,Credit Card Portal,Would like an option to categorize transactions automatically,In Progress,Medium,Feature Request
692075,2025-03-03 02:43:56,909a096d-ab0d-4187-aafe-32f23de9c0b0,Investment Dashboard,Received suspicious email claiming to be from the bank,In Progress,Low,Security Concern
664187,2025-03-12 13:21:56,9c3a2c48-b5cb-42fc-b3b2-8a2655212b53,ATM Services,Extremely slow loading times for all screens,New,Medium,App Performance
792746,2025-03-04 00:55:56,b0dff056-0e26-4a3c-b49c-2c20ba3bafc3,Web Portal,Duplicate transaction showing in my account history,New,Medium,Transaction Error
474082,2025-03-16 00:49:56,d915d8ff-1843-423e-a7ca-4d5db7ce1e36,Web Portal,Balance shown in app doesn't match my actual account balance. Part lead but court.,New,Low,Data Discrepancy
838363,2025-02-26 18:59:56,a1308737-60df-4653-bd15-7321c471c320,Loan Application System,App freezes during fund transfers,New,Low,App Performance
366187,2025-03-27 11:14:56,858b1099-d0ce-41aa-b513-6a155091a380,Account Management System,Getting 'Your account has been temporarily suspended' message,New,Medium,Account Access
583827,2025-03-27 05:43:56,dbe8ea92-7e7b-446d-9cef-663ea34b845e,Account Management System,Account locked after multiple login attempts. But before manager guess.,New,Medium,Account Access
145228,2025-03-14 01:24:56,dcb7bf17-b4ee-4d94-bdef-60328e4bc93f,Loan Application System,App crashes when trying to view transaction history,New,High,App Performance
116920,2025-02-28 12:40:56,6cfcc981-b0d9-49bc-9980-8711a75229b4,Loan Application System,Duplicate transaction showing in my account history. Performance important development meet plant.,New,Medium,Transaction Error
641907,2025-03-26 18:00:56,b9f67007-b213-458d-b22a-ba443a6cc4ac,Account Management System,Getting 'Your account has been temporarily suspended' message,New,High,Account Access
440346,2025-03-15 00:19:56,d374796a-1a6e-4e18-bc59-6a3905db71c6,Web Portal,Biometric login not working on my device,New,Medium,Login Failure
380400,2025-03-04 03:42:56,deb14051-d6e6-4e8f-b0ac-5214dc659b0e,ATM Services,Received suspicious email claiming to be from the bank,In Progress,Medium,Security Concern
840754,2025-03-26 12:35:56,4ee87b6a-f64a-448e-b7d5-2d5b2ba039b7,Web Portal,Extremely slow loading times for all screens,New,Medium,App Performance
785910,2025-03-02 01:30:56,d567b6a9-3f33-47fa-9f40-ce96e622bf63,Investment Dashboard,Unable to log in to investment dashboard with correct credentials,New,High,Login Failure
815207,2025-03-12 23:38:56,b03ad235-dad2-48df-af02-b88168c8c153,Loan Application System,Getting 'Your account has been temporarily suspended' message,New,Medium,Account Access
872674,2025-03-21 20:10:56,ff026eea-9786-40cb-92e1-28a2608cbcd8,Account Management System,Recent transactions not showing up in activity feed,New,Low,Data Discrepancy
540483,2025-02-28 15:01:56,5a362e81-bbe8-4b9d-90b9-233a58eeae2a,Account Management System,Recent transactions not showing up in activity feed,New,Low,Data Discrepancy
396452,2025-03-19 02:54:56,7719365b-9793-44b8-9ca6-65e926a54515,Mobile Banking App,Received suspicious email claiming to be from the bank,New,Medium,Security Concern
987130,2025-02-28 05:55:56,319df437-715b-4e8d-9d21-909b59393272,ATM Services,Duplicate transaction showing in my account history,New,Medium,Transaction Error
374129,2025-03-06 13:06:56,972ccf98-d500-47b7-b9c7-4ee98fbf8388,Bill Payment Service,Biometric login not working on my device. Show general including speak table bank reflect evening.,New,Medium,Login Failure
284828,2025-03-07 08:00:56,ed2bba85-ed84-4dd7-9ec2-a38cf8a155e1,Account Management System,Authentication fails every time I try to access my account,New,High,Login Failure
996123,2025-02-26 00:43:56,ce1990c9-8eee-44e8-830d-8a6367d83400,Bill Payment Service,Need to report potential phishing attempt targeting bank customers,New,Medium,Security Concern
206852,2025-03-10 14:05:56,8c2d5320-aefa-4d9d-9dbc-f56ef77b0f26,Credit Card Portal,Suggestion to add spending analytics feature,New,Medium,Feature Request
111798,2025-03-13 15:32:56,b97820a1-e2fa-4c0f-8abe-e1eb50b455e4,Loan Application System,Concerned about the security of my banking data,In Progress,High,Security Concern
755925,2025-03-03 20:04:56,832cd875-3a8c-48f2-9e55-5c65092b86ee,Loan Application System,Concerned about the security of my banking data,New,Low,Security Concern
812565,2025-03-05 12:29:56,89275e3d-e1e6-45e8-8eb0-bcfbb03138b2,Loan Application System,Balance shown in app doesn't match my actual account balance,New,Low,Data Discrepancy
